name,busbar,profile,pmax,pmin,vomc,inv_cost,candidate
LIBERTAD_II_FV,NuevaMaitencillo500,Profile_ElPelicano,122.0,0.0,0.0,0.0,False
LLANO_DE_LLAMPOS_FV,NuevaCardones500,Profile_SolarLlanodeLlampos,101.02,0.0,0.0,0.0,False
LOS_LOROS_FV,NuevaCardones500,Profile_PFVLosLoros,45.82,0.0,0.0,0.0,False
LUNA DE VERANO_FV,NuevaMaitencillo500,Profile_PV_NuevaMaitencillo500,82.0,0.0,0.0,0.0,False
LUZ_DEL_NORTE_FV,Cumbre500,Profile_LuzdelNorte,141.0,0.0,0.0,0.0,False
La Calera 012 I,Quillota500,Profile_ElDivisadero,20.45844063,0.0,0.0,0.0,False
La Esperanza 13.2 I,Polpaico500,Profile_PV_Polpaico500,14.61317188,0.0,0.0,0.0,False
La Manga 13.2 I,Polpaico500,Profile_PV_Polpaico500,28.15471115,0.0,0.0,0.0,False
La Negra 023 I,Kimal220,Profile_CERRODOMINADOR,8.767903126,0.0,0.0,0.0,False
La Negra 023 II,Kimal220,Profile_CERRODOMINADOR,17.53580625,0.0,0.0,0.0,False
La Palma 13.2 I,Ancoa500,Profile_PV_Ancoa500,36.04582396,0.0,0.0,0.0,False
La Reina 012 I,NuevaPandeAzucar500,Profile_PV_NuevaPandeAzucar500,0.149054353,0.0,0.0,0.0,False
La Ronda 015 I,AltoJahuel500,Profile_ElPicurio,11.59311635,0.0,0.0,0.0,False
La Vega 023 I,Ancoa500,Profile_Cordillerilla,8.767903126,0.0,0.0,0.0,False
Lagunas 023 I,Lagunas220,Profile_SOLARELaGUILAI,8.767903126,0.0,0.0,0.0,False
Lagunas 023 II,Lagunas220,Profile_SOLARELaGUILAI,17.53580625,0.0,0.0,0.0,False
Lagunas 220 I,Lagunas220,Profile_SOLARELaGUILAI,8.767903126,0.0,0.0,0.0,False
Laja 13.8 I,Concepcion500,Profile_ElPitio,10.22922031,0.0,0.0,0.0,False
Lampa 023 I,Polpaico500,Profile_Cintac,0.974211458,0.0,0.0,0.0,False
